Arus Petir (kA);Jumlah Sambaran
1;0
2;0
3;0
4;0
5;4
6;8
7;11
8;33
9;27
10;26
11;27
12;30
13;26
14;40
15;34
16;37
17;29
18;22
19;20
20;27
21;15
22;22
23;18
24;11
25;12
26;12
27;7
28;13
29;12
30;10
31;7
32;9
33;5
34;9
35;13
36;4
37;3
38;5
39;2
40;3
41;10
42;3
43;8
44;1
45;4
46;4
47;0
48;1
49;2
50;2
51;1
52;3
53;2
54;1
55;1
56;0
57;2
58;0
59;1
60;3
61;0
62;1
63;0
64;0
65;1
66;1
67;1
68;3
69;0
70;2
71;0
72;0
73;0
74;2
75;0
76;0
77;0
78;2
79;0
80;2
81;0
82;0
83;2
84;0
85;0
86;0
87;0
88;0
89;2
90;0
91;0
92;0
93;0
94;0
95;0
96;0
97;0
98;0
99;0
100;0
101;0
102;0
103;0
104;0
105;0
106;0
107;1
